num_genres,duration_value,rating_encoded,type_encoded
1,90.0,4,0
3,2.0,0,1
3,1.0,0,1
2,1.0,0,1
3,2.0,0,1
3,1.0,0,1
1,91.0,4,0
3,125.0,0,0
2,9.0,3,1
2,104.0,4,0
3,1.0,0,1
3,1.0,0,1
2,127.0,0,0
2,91.0,4,0
3,1.0,0,1
2,4.0,0,1
2,67.0,0,0
3,2.0,0,1
1,94.0,3,0
3,1.0,0,1
3,1.0,3,1
3,5.0,3,1
2,161.0,4,0
1,61.0,2,0
3,166.0,3,0
3,2.0,3,1
3,147.0,4,0
1,103.0,4,0
2,97.0,4,0
1,106.0,4,0
3,111.0,3,0
1,1.0,0,1
3,3.0,0,1
3,1.0,0,1
1,1.0,2,1
3,110.0,0,0
3,105.0,0,0
2,1.0,2,1
2,96.0,4,0
1,3.0,2,1
2,1.0,2,1
3,124.0,4,0
3,116.0,4,0
3,98.0,4,0
3,91.0,4,0
1,23.0,4,0
1,115.0,0,0
3,1.0,0,1
2,122.0,0,0
2,2.0,0,1
3,1.0,4,1
3,99.0,3,0
3,99.0,3,0
3,88.0,4,0
3,100.0,4,0
1,6.0,4,1
3,102.0,3,0
3,93.0,4,0
3,96.0,4,0
3,95.0,4,0
3,85.0,3,0
3,97.0,4,0
3,95.0,4,0
3,83.0,4,0
1,103.0,4,0
1,6.0,2,1
2,1.0,1,1
2,9.0,4,1
3,113.0,3,0
2,1.0,4,1
3,1.0,0,1
1,13.0,2,0
3,5.0,0,1
2,182.0,0,0
1,2.0,4,1
1,106.0,1,0
2,1.0,3,1
2,48.0,2,0
3,145.0,3,0
3,145.0,3,0
1,93.0,2,0
1,106.0,0,0
3,6.0,3,1
1,1.0,0,1
3,147.0,0,0
2,1.0,2,1
2,87.0,0,0
2,2.0,2,1
2,96.0,4,0
1,4.0,2,1
2,95.0,0,0
2,92.0,3,0
3,2.0,0,1
3,91.0,0,0
2,90.0,4,0
1,3.0,0,1
2,97.0,0,0
3,2.0,2,1
2,1.0,2,1
2,1.0,0,1
1,2.0,2,1
2,80.0,0,0
2,1.0,3,1
3,117.0,0,0
2,2.0,2,1
3,128.0,3,0
2,5.0,1,1
2,90.0,2,0
3,1.0,1,1
3,5.0,0,1
3,1.0,0,1
1,1.0,2,1
1,119.0,4,0
2,110.0,4,0
3,143.0,3,0
2,119.0,4,0
3,114.0,4,0
1,94.0,4,0
3,106.0,3,0
3,99.0,0,0
2,1.0,2,1
3,1.0,3,1
1,118.0,0,0
1,1.0,2,1
2,3.0,2,1
3,1.0,0,1
3,115.0,3,0
2,95.0,4,0
3,115.0,4,0
1,108.0,4,0
2,63.0,2,0
3,117.0,0,0
3,1.0,0,1
2,121.0,0,0
2,142.0,4,0
1,113.0,0,0
2,154.0,0,0
2,95.0,4,0
2,108.0,4,0
3,120.0,0,0
3,100.0,0,0
1,82.0,0,0
1,124.0,4,0
2,114.0,4,0
2,104.0,0,0
3,94.0,0,0
2,94.0,0,0
1,1.0,4,1
1,1.0,3,1
2,93.0,0,0
1,97.0,0,0
2,109.0,3,0
1,88.0,0,0
1,2.0,2,1
3,3.0,0,1
3,101.0,4,0
3,105.0,4,0
2,102.0,3,0
2,101.0,4,0
3,103.0,0,0
1,4.0,4,1
3,106.0,4,0
1,118.0,4,0
2,86.0,0,0
2,121.0,4,0
3,1.0,0,1
2,229.0,0,0
2,76.0,4,0
3,95.0,4,0
2,98.0,4,0
2,89.0,0,0
2,120.0,4,0
2,110.0,4,0
2,83.0,4,0
2,121.0,0,0
2,105.0,0,0
2,94.0,4,0
2,156.0,3,0
2,112.0,0,0
2,95.0,4,0
2,107.0,4,0
1,1.0,3,1
1,114.0,4,0
2,129.0,0,0
1,1.0,4,1
2,86.0,0,0
3,1.0,3,1
2,1.0,1,1
2,97.0,0,0
2,2.0,2,1
2,125.0,3,0
2,107.0,0,0
3,127.0,3,0
2,1.0,0,1
3,1.0,0,1
3,128.0,3,0
2,92.0,3,0
2,1.0,2,1
3,1.0,0,1
3,135.0,3,0
3,124.0,3,0
3,136.0,3,0
3,165.0,0,0
2,124.0,0,0
2,136.0,0,0
3,150.0,3,0
3,112.0,0,0
3,119.0,3,0
3,133.0,3,0
3,142.0,3,0
2,93.0,0,0
2,113.0,0,0
2,2.0,0,1
2,3.0,4,1
2,124.0,0,0
3,116.0,0,0
3,106.0,3,0
3,145.0,3,0
2,1.0,3,1
2,1.0,3,1
2,4.0,4,1
1,93.0,3,0
3,1.0,0,1
3,1.0,0,1
2,1.0,3,1
3,1.0,0,1
3,1.0,0,1
3,95.0,0,0
1,108.0,0,0
1,90.0,0,0
2,86.0,0,0
2,92.0,4,0
1,3.0,1,1
2,82.0,0,0
2,1.0,2,1
3,70.0,4,0
3,122.0,3,0
3,122.0,3,0
3,122.0,3,0
3,122.0,3,0
2,84.0,0,0
3,3.0,3,1
2,1.0,0,1
3,1.0,0,1
3,96.0,3,0
2,1.0,4,1
3,115.0,0,0
2,110.0,0,0
2,1.0,0,1
3,88.0,2,0
3,102.0,4,0
3,91.0,4,0
2,105.0,0,0
3,135.0,3,0
1,5.0,2,1
2,86.0,0,0
2,140.0,3,0
3,133.0,3,0
3,92.0,0,0
3,82.0,4,0
3,1.0,0,1
3,97.0,3,0
3,78.0,0,0
1,2.0,2,1
2,94.0,0,0
3,1.0,3,1
2,1.0,0,1
3,121.0,0,0
2,97.0,0,0
1,2.0,2,1
1,110.0,0,0
3,1.0,0,1
1,5.0,2,1
3,1.0,0,1
2,7.0,0,1
3,1.0,0,1
3,2.0,0,1
3,1.0,3,1
1,64.0,0,0
3,59.0,4,0
1,1.0,4,1
2,101.0,3,0
3,127.0,0,0
2,90.0,4,0
2,114.0,3,0
2,108.0,0,0
1,2.0,2,1
3,1.0,3,1
3,1.0,0,1
3,1.0,3,1
2,70.0,0,0
2,1.0,3,1
3,98.0,4,0
3,86.0,0,0
2,139.0,4,0
2,111.0,4,0
3,1.0,0,1
1,1.0,0,1
3,115.0,0,0
3,102.0,3,0
2,100.0,4,0
3,135.0,3,0
2,69.0,0,0
3,95.0,0,0
1,97.0,3,0
3,124.0,0,0
2,118.0,4,0
1,115.0,0,0
1,115.0,0,0
1,3.0,4,1
2,1.0,0,1
3,2.0,0,1
1,1.0,0,1
3,1.0,3,1
3,104.0,0,0
2,106.0,0,0
3,1.0,3,1
2,102.0,4,0
2,97.0,0,0
3,1.0,3,1
